Apollo Hospital,2,2,0,2,1.0
EK AUR Hospital,0,0,0,0,0.0
Name,Total Patients,Total Infected,Total Recovered,Total Deceased,Fatality Rate
Maharashtra,2,2,0,2,1.0
Fortis Hospital,0,0,0,0,0.0
BHAI KA Hospital,0,0,0,0,0.0
Name,Total Patients,Total Infected,Total Recovered,Total Deceased,Fatality Rate
Karnataka,0,0,0,0,0.0
Wockart Hospital,0,0,0,0,0.0
TOTOT Hospital,0,0,0,0,0.0
Name,Total Patients,Total Infected,Total Recovered,Total Deceased,Fatality Rate
Gujrat,0,0,0,0,0.0
Apollo Hospital,2,2,0,2,1.0
EK AUR Hospital,2,2,0,2,1.0
Name,Total Patients,Total Infected,Total Recovered,Total Deceased,Fatality Rate
Maharashtra,4,4,0,4,1.0
Fortis Hospital,2,2,0,2,1.0
BHAI KA Hospital,0,0,0,0,0.0
Name,Total Patients,Total Infected,Total Recovered,Total Deceased,Fatality Rate
Karnataka,2,2,0,2,1.0
Wockart Hospital,0,0,0,0,0.0
TOTOT Hospital,0,0,0,0,0.0
Name,Total Patients,Total Infected,Total Recovered,Total Deceased,Fatality Rate
Gujrat,0,0,0,0,0.0
Apollo Hospital,2,2,0,2,1.0
EK AUR Hospital,2,2,0,2,1.0
Name,Total Patients,Total Infected,Total Recovered,Total Deceased,Fatality Rate
Maharashtra,4,4,0,4,1.0
Fortis Hospital,2,2,0,2,1.0
BHAI KA Hospital,0,0,0,0,0.0
Name,Total Patients,Total Infected,Total Recovered,Total Deceased,Fatality Rate
Karnataka,2,2,0,2,1.0
Wockart Hospital,0,0,0,0,0.0
TOTOT Hospital,0,0,0,0,0.0
Name,Total Patients,Total Infected,Total Recovered,Total Deceased,Fatality Rate
Gujrat,0,0,0,0,0.0
Apollo Hospital,2,2,0,2,1.0
EK AUR Hospital,2,2,0,2,1.0
Name,Total Patients,Total Infected,Total Recovered,Total Deceased,Fatality Rate
Maharashtra,4,4,0,4,1.0
Fortis Hospital,2,2,0,2,1.0
BHAI KA Hospital,0,0,0,0,0.0
Name,Total Patients,Total Infected,Total Recovered,Total Deceased,Fatality Rate
Karnataka,2,2,0,2,1.0
Wockart Hospital,0,0,0,0,0.0
TOTOT Hospital,0,0,0,0,0.0
Name,Total Patients,Total Infected,Total Recovered,Total Deceased,Fatality Rate
Gujrat,0,0,0,0,0.0
Apollo Hospital,2,2,0,2,1.0
EK AUR Hospital,2,2,0,2,1.0
Name,Total Patients,Total Infected,Total Recovered,Total Deceased,Fatality Rate
Maharashtra,4,4,0,4,1.0
Fortis Hospital,2,2,0,2,1.0
BHAI KA Hospital,0,0,0,0,0.0
Name,Total Patients,Total Infected,Total Recovered,Total Deceased,Fatality Rate
Karnataka,2,2,0,2,1.0
Wockart Hospital,0,0,0,0,0.0
TOTOT Hospital,0,0,0,0,0.0
Name,Total Patients,Total Infected,Total Recovered,Total Deceased,Fatality Rate
Gujrat,0,0,0,0,0.0
Apollo Hospital,2,2,0,2,1.0
EK AUR Hospital,2,2,0,2,1.0
Name,Total Patients,Total Infected,Total Recovered,Total Deceased,Fatality Rate
Maharashtra,4,4,0,4,1.0
Fortis Hospital,2,2,0,2,1.0
BHAI KA Hospital,0,0,0,0,0.0
Name,Total Patients,Total Infected,Total Recovered,Total Deceased,Fatality Rate
Karnataka,2,2,0,2,1.0
